iter	Passed	Remaining
594	1308	890
595	1309	887
596	1312	885
597	1313	882
598	1314	880
599	1315	877
600	1317	874
601	1318	871
602	1319	868
603	1320	865
604	1321	862
605	1322	859
606	1323	856
607	1324	853
608	1325	850
609	1326	848
610	1328	845
611	1328	842
612	1329	839
613	1330	836
614	1332	833
615	1333	831
616	1334	828
617	1335	825
618	1336	822
619	1337	819
620	1338	816
621	1339	813
622	1341	811
623	1342	809
624	1343	806
625	1345	803
626	1346	801
627	1347	798
628	1348	795
629	1349	792
630	1350	790
631	1351	787
632	1352	784
633	1353	781
634	1356	779
635	1357	776
636	1358	774
637	1359	771
638	1360	768
639	1361	765
640	1362	763
641	1363	760
642	1364	757
643	1365	754
644	1366	752
645	1367	749
646	1368	746
647	1372	745
648	1373	742
649	1374	739
650	1375	737
651	1376	734
652	1377	731
653	1378	729
654	1379	726
655	1380	723
656	1381	721
657	1382	718
658	1383	715
659	1384	713
660	1387	711
661	1388	708
662	1389	706
663	1390	703
664	1391	701
665	1392	698
666	1393	695
667	1394	693
668	1395	690
669	1396	687
670	1397	685
671	1398	682
672	1402	681
673	1403	678
674	1404	676
675	1405	673
676	1406	670
677	1407	668
678	1408	665
679	1409	663
680	1409	660
681	1410	657
682	1411	655
683	1412	652
684	1412	649
685	1413	647
686	1415	644
687	1416	642
688	1417	640
689	1418	637
690	1419	634
691	1420	632
692	1421	629
693	1422	627
694	1423	624
695	1424	622
696	1425	619
697	1426	617
698	1426	614
699	1427	611
700	1428	609
701	1429	606
702	1431	604
703	1432	602
704	1432	599
705	1433	597
706	1434	594
707	1435	591
708	1436	589
709	1436	586
710	1437	584
711	1438	581
712	1438	579
713	1439	576
714	1440	574
715	1441	571
716	1442	569
717	1443	566
718	1443	564
719	1446	562
720	1446	559
721	1447	557
722	1448	554
723	1449	552
724	1450	550
725	1450	547
726	1451	545
727	1452	542
728	1453	540
729	1454	537
730	1454	535
731	1455	532
732	1456	530
733	1457	528
734	1457	525
735	1458	523
736	1461	521
737	1461	519
738	1462	516
739	1463	514
740	1464	511
741	1465	509
742	1465	507
743	1466	504
744	1467	502
745	1467	499
746	1468	497
747	1469	495
748	1470	492
